champion_name,version,champion_id,title,blurb,tags,partype,hp,hp_per_level,mp,mp_per_level,movement_speed,armor,armor_per_level,spellblock,spellblock_per_level,attack_range,hp_regen,hp_regen_per_level,mp_regen,mp_regen_per_level,crit,crit_per_level,attack_damage,attack_damager_per_level,attack_speed_per_level,attack_speed,attack,defense,magic,difficulty
Leblanc,10.23.1,7,the Deceiver,"Mysterious even to other members of the Black Rose cabal, LeBlanc is but one of many names for a pale woman who has manipulated people and events since the earliest days of Noxus. Using her magic to mirror herself, the sorceress can appear to anyone...","['Assassin', 'Mage']",Mana,528.0,92.0,334.0,50.0,340.0,21.88,3.5,30.0,0.5,525.0,7.5,0.55,6.0,0.8,0.0,0.0,54.88,3.5,1.4,0.625,1.0,4.0,10.0,9.0
LeeSin,10.23.1,64,the Blind Monk,"A master of Ionia's ancient martial arts, Lee Sin is a principled fighter who channels the essence of the dragon spirit to face any challenge. Though he lost his sight many years ago, the warrior-monk has devoted his life to protecting his homeland...","['Fighter', 'Assassin']",Energy,575.0,85.0,200.0,0.0,345.0,33.0,3.7,32.1,1.25,125.0,7.5,0.7,50.0,0.0,0.0,0.0,70.0,3.7,3.0,0.651,8.0,5.0,3.0,6.0
Leona,10.23.1,89,the Radiant Dawn,"Imbued with the fire of the sun, Leona is a holy warrior of the Solari who defends Mount Targon with her Zenith Blade and the Shield of Daybreak. Her skin shimmers with starfire while her eyes burn with the power of the celestial Aspect within her...","['Tank', 'Support']",Mana,576.16,87.0,302.2,40.0,335.0,47.0,3.6,32.1,1.25,125.0,8.5,0.85,6.0,0.8,0.0,0.0,60.04,3.0,2.9,0.625,4.0,8.0,3.0,4.0
Lillia,10.23.1,876,the Bashful Bloom,"Intensely shy, the fae fawn Lillia skittishly wanders Ionia's forests. Hiding just out of sight of mortals—whose mysterious natures have long captivated, but intimidated, her—Lillia hopes to discover why their dreams no longer reach the ancient Dreaming...","['Fighter', 'Mage']",Mana,580.0,90.0,410.0,50.0,330.0,20.0,4.0,32.1,0.75,325.0,9.0,0.75,11.5,0.95,0.0,0.0,61.0,3.1,2.7,0.625,0.0,2.0,10.0,8.0
Lissandra,10.23.1,127,the Ice Witch,"Lissandra's magic twists the pure power of ice into something dark and terrible. With the force of her black ice, she does more than freeze—she impales and crushes those who oppose her. To the terrified denizens of the north, she is known only as ''The...",['Mage'],Mana,550.0,90.0,475.0,30.0,325.0,22.0,3.7,30.0,0.5,550.0,7.0,0.55,8.0,0.4,0.0,0.0,53.0,2.7,1.36,0.656,2.0,5.0,8.0,6.0
Lucian,10.23.1,236,the Purifier,"Lucian, a Sentinel of Light, is a grim hunter of undying spirits, pursuing them relentlessly and annihilating them with his twin relic pistols. After the wraith Thresh slew his wife, Lucian embarked on the path of vengeance—but even with her return to...",['Marksman'],Mana,571.0,86.0,348.88,38.0,335.0,28.0,3.0,30.0,0.5,500.0,3.75,0.65,8.176,0.7,0.0,0.0,64.0,2.3,3.3,0.638,8.0,5.0,3.0,6.0
Lulu,10.23.1,117,the Fae Sorceress,"The yordle mage Lulu is known for conjuring dreamlike illusions and fanciful creatures as she roams Runeterra with her fairy companion Pix. Lulu shapes reality on a whim, warping the fabric of the world, and what she views as the constraints of this...","['Support', 'Mage']",Mana,525.0,74.0,350.0,55.0,330.0,29.0,3.7,30.0,0.5,550.0,6.0,0.6,11.0,0.6,0.0,0.0,47.0,2.6,2.25,0.625,4.0,5.0,7.0,5.0
Lux,10.23.1,99,the Lady of Luminosity,"Luxanna Crownguard hails from Demacia, an insular realm where magical abilities are viewed with fear and suspicion. Able to bend light to her will, she grew up dreading discovery and exile, and was forced to keep her power secret, in order to preserve...","['Mage', 'Support']",Mana,490.0,85.0,480.0,23.5,330.0,18.72,4.0,30.0,0.5,550.0,5.5,0.55,8.0,0.8,0.0,0.0,53.54,3.3,1.0,0.669,2.0,4.0,9.0,5.0
Malphite,10.23.1,54,Shard of the Monolith,"A massive creature of living stone, Malphite struggles to impose blessed order on a chaotic world. Birthed as a servitor-shard to an otherworldly obelisk known as the Monolith, he used his tremendous elemental strength to maintain and protect his...","['Tank', 'Fighter']",Mana,575.0,90.0,280.0,60.0,335.0,37.0,3.75,32.1,1.25,125.0,7.0,0.55,7.324,0.55,0.0,0.0,61.97,4.0,3.4,0.736,5.0,9.0,7.0,2.0
Malzahar,10.23.1,90,the Prophet of the Void,"A zealous seer dedicated to the unification of all life, Malzahar truly believes the newly emergent Void to be the path to Runeterra's salvation. In the desert wastes of Shurima, he followed the voices that whispered in his mind, all the way to ancient...","['Mage', 'Assassin']",Mana,537.0,87.0,375.0,27.5,335.0,18.0,3.5,30.0,0.5,500.0,6.0,0.6,8.0,0.8,0.0,0.0,55.0,3.0,1.5,0.625,2.0,2.0,9.0,6.0
Maokai,10.23.1,57,the Twisted Treant,"Maokai is a rageful, towering treant who fights the unnatural horrors of the Shadow Isles. He was twisted into a force of vengeance after a magical cataclysm destroyed his home, surviving undeath only through the Waters of Life infused within his...","['Tank', 'Mage']",Mana,565.0,95.0,375.0,43.0,335.0,39.0,4.0,32.1,1.25,125.0,5.0,0.75,7.2,0.6,0.0,0.0,63.54,3.3,2.125,0.8,3.0,8.0,6.0,3.0
MasterYi,10.23.1,11,the Wuju Bladesman,"Master Yi has tempered his body and sharpened his mind, so that thought and action have become almost as one. Though he chooses to enter into violence only as a last resort, the grace and speed of his blade ensures resolution is always swift. As one of...","['Assassin', 'Fighter']",Mana,598.56,92.0,250.56,42.0,355.0,33.0,3.0,32.1,1.25,125.0,7.5,0.65,7.256,0.45,0.0,0.0,66.0,3.0,2.0,0.679,10.0,4.0,2.0,4.0
MissFortune,10.23.1,21,the Bounty Hunter,"A Bilgewater captain famed for her looks but feared for her ruthlessness, Sarah Fortune paints a stark figure among the hardened criminals of the port city. As a child, she witnessed the reaver king Gangplank murder her family—an act she brutally...",['Marksman'],Mana,570.0,93.0,325.84,35.0,325.0,28.0,3.0,30.0,0.5,550.0,3.75,0.65,8.042,0.65,0.0,0.0,52.0,2.7,3.0,0.656,8.0,2.0,5.0,1.0
MonkeyKing,10.23.1,62,the Monkey King,"Wukong is a vastayan trickster who uses his strength, agility, and intelligence to confuse his opponents and gain the upper hand. After finding a lifelong friend in the warrior known as Master Yi, Wukong became the last student of the ancient martial...","['Fighter', 'Tank']",Mana,540.0,85.0,300.0,65.0,345.0,31.0,3.5,28.0,1.25,175.0,4.0,0.65,8.0,0.65,0.0,0.0,68.0,4.0,3.0,0.711,8.0,5.0,2.0,3.0
Mordekaiser,10.23.1,82,the Iron Revenant,"Twice slain and thrice born, Mordekaiser is a brutal warlord from a foregone epoch who uses his necromantic sorcery to bind souls into an eternity of servitude. Few now remain who remember his earlier conquests, or know the true extent of his powers—but...",['Fighter'],Shield,575.0,90.0,100.0,0.0,335.0,37.0,3.0,32.0,1.25,175.0,5.0,0.75,0.0,0.0,0.0,0.0,61.0,4.0,1.0,0.625,4.0,6.0,7.0,4.0
Morgana,10.23.1,25,the Fallen,"Conflicted between her celestial and mortal natures, Morgana bound her wings to embrace humanity, and inflicts her pain and bitterness upon the dishonest and the corrupt. She rejects laws and traditions she believes are unjust, and fights for truth from...","['Mage', 'Support']",Mana,560.0,90.0,340.0,60.0,335.0,25.0,3.8,30.0,0.5,450.0,5.5,0.4,11.0,0.4,0.0,0.0,56.0,3.5,1.53,0.625,1.0,6.0,8.0,1.0
Nami,10.23.1,267,the Tidecaller,"A headstrong young vastaya of the seas, Nami was the first of the Marai tribe to leave the waves and venture onto dry land, when their ancient accord with the Targonians was broken. With no other option, she took it upon herself to complete the sacred...","['Support', 'Mage']",Mana,475.0,74.0,365.0,43.0,335.0,29.0,4.0,30.0,0.5,550.0,5.5,0.55,11.5,0.4,0.0,0.0,51.208,3.1,2.61,0.644,4.0,3.0,7.0,5.0
Nasus,10.23.1,75,the Curator of the Sands,"Nasus is an imposing, jackal-headed Ascended being from ancient Shurima, a heroic figure regarded as a demigod by the people of the desert. Fiercely intelligent, he was a guardian of knowledge and peerless strategist whose wisdom guided the ancient...","['Fighter', 'Tank']",Mana,561.2,90.0,325.6,62.0,350.0,34.0,3.5,32.1,1.25,125.0,9.0,0.9,7.44,0.5,0.0,0.0,67.0,3.5,3.48,0.638,7.0,5.0,6.0,6.0
Nautilus,10.23.1,111,the Titan of the Depths,"A lonely legend as old as the first piers sunk in Bilgewater, the armored goliath known as Nautilus roams the dark waters off the coast of the Blue Flame Isles. Driven by a forgotten betrayal, he strikes without warning, swinging his enormous anchor to...","['Tank', 'Fighter']",Mana,576.48,86.0,400.0,47.0,325.0,39.0,3.75,32.1,1.25,175.0,8.5,0.55,8.626,0.5,0.0,0.0,61.0,3.3,1.0,0.706,4.0,6.0,6.0,6.0
Neeko,10.23.1,518,the Curious Chameleon,"Hailing from a long lost tribe of vastaya, Neeko can blend into any crowd by borrowing the appearances of others, even absorbing something of their emotional state to tell friend from foe in an instant. No one is ever sure where—or who—Neeko might be...","['Mage', 'Support']",Mana,540.0,90.0,450.0,30.0,340.0,21.0,4.0,30.0,0.5,550.0,7.5,0.75,7.0,0.7,0.0,0.0,48.0,2.5,3.5,0.625,1.0,1.0,9.0,5.0
Nidalee,10.23.1,76,the Bestial Huntress,"Raised in the deepest jungle, Nidalee is a master tracker who can shapeshift into a ferocious cougar at will. Neither wholly woman nor beast, she viciously defends her territory from any and all trespassers, with carefully placed traps and deft spear...","['Assassin', 'Mage']",Mana,545.0,85.0,295.0,45.0,335.0,28.0,3.5,30.0,0.5,525.0,6.0,0.6,6.0,0.8,0.0,0.0,58.0,3.5,3.22,0.638,5.0,4.0,7.0,8.0
Nocturne,10.23.1,56,the Eternal Nightmare,"A demonic amalgamation drawn from the nightmares that haunt every sentient mind, the thing known as Nocturne has become a primordial force of pure evil. It is liquidly chaotic in aspect, a faceless shadow with cold eyes and armed with wicked-looking...","['Assassin', 'Fighter']",Mana,585.0,85.0,275.0,35.0,345.0,38.0,3.5,32.1,0.75,125.0,7.0,0.75,7.0,0.45,0.0,0.0,62.0,3.1,2.7,0.721,9.0,5.0,2.0,4.0
Nunu,10.23.1,20,the Boy and His Yeti,"Once upon a time, there was a boy who wanted to prove he was a hero by slaying a fearsome monster—only to discover that the beast, a lonely and magical yeti, merely needed a friend. Bound together by ancient power and a shared love of snowballs, Nunu...","['Tank', 'Fighter']",Mana,570.0,82.0,280.0,42.0,345.0,29.0,3.0,32.1,1.25,125.0,5.0,0.8,7.0,0.5,0.0,0.0,61.0,3.0,2.25,0.625,4.0,6.0,7.0,4.0
Olaf,10.23.1,2,the Berserker,"An unstoppable force of destruction, the axe-wielding Olaf wants nothing but to die in glorious combat. Hailing from the brutal Freljordian peninsula of Lokfar, he once received a prophecy foretelling his peaceful passing—a coward's fate, and a great...","['Fighter', 'Tank']",Mana,597.24,93.0,315.6,42.0,350.0,35.0,3.0,32.1,1.25,125.0,8.5,0.9,7.465,0.575,0.0,0.0,68.0,3.5,2.7,0.694,9.0,5.0,3.0,3.0
Orianna,10.23.1,61,the Lady of Clockwork,"Once a curious girl of flesh and blood, Orianna is now a technological marvel comprised entirely of clockwork. She became gravely ill after an accident in the lower districts of Zaun, and her failing body had to be replaced with exquisite artifice...","['Mage', 'Support']",Mana,530.0,91.0,418.0,25.0,325.0,17.04,3.0,26.0,0.5,525.0,7.0,0.55,8.0,0.8,0.0,0.0,40.368,2.6,3.5,0.658,4.0,3.0,9.0,7.0
Ornn,10.23.1,516,The Fire below the Mountain,"Ornn is the Freljordian spirit of forging and craftsmanship. He works in the solitude of a massive smithy, hammered out from the lava caverns beneath the volcano Hearth-Home. There he stokes bubbling cauldrons of molten rock to purify ores and fashion...","['Tank', 'Fighter']",Mana,590.0,95.0,340.6,65.0,335.0,33.0,4.0,32.1,1.25,175.0,9.0,0.9,8.01,0.6,0.0,0.0,69.0,3.5,2.0,0.625,5.0,9.0,3.0,5.0
Pantheon,10.23.1,80,the Unbreakable Spear,"Once an unwilling host to the Aspect of War, Atreus survived when the celestial power within him was slain, refusing to succumb to a blow that tore stars from the heavens. In time, he learned to embrace the power of his own mortality, and the stubborn...","['Fighter', 'Assassin']",Mana,580.0,95.0,317.12,31.0,355.0,40.0,3.75,28.0,1.25,175.0,10.0,0.65,7.356,0.45,0.0,0.0,64.0,3.3,2.95,0.644,9.0,4.0,3.0,4.0
Poppy,10.23.1,78,Keeper of the Hammer,"Runeterra has no shortage of valiant champions, but few are as tenacious as Poppy. Bearing the legendary hammer of Orlon, a weapon twice her size, this determined yordle has spent untold years searching in secret for the fabled “Hero of Demacia,” said...","['Tank', 'Fighter']",Mana,540.0,90.0,280.0,40.0,345.0,38.0,3.5,32.0,1.25,125.0,8.0,0.8,7.0,0.7,0.0,0.0,64.0,4.0,2.5,0.625,6.0,7.0,2.0,6.0
Pyke,10.23.1,555,the Bloodharbor Ripper,"A renowned harpooner from the slaughter docks of Bilgewater, Pyke should have met his death in the belly of a gigantic jaull-fish… and yet, he returned. Now, stalking the dank alleys and backways of his former hometown, he uses his new supernatural...","['Support', 'Assassin']",Mana,600.0,90.0,415.0,50.0,330.0,45.0,3.5,32.0,1.25,150.0,7.0,0.5,8.0,1.0,0.0,0.0,62.0,2.0,2.5,0.667,9.0,3.0,1.0,7.0
Qiyana,10.23.1,246,Empress of the Elements,"In the jungle city of Ixaocan, Qiyana plots her own ruthless path to the high seat of the Yun Tal. Last in line to succeed her parents, she faces those who stand in her way with brash confidence and unprecedented mastery over elemental magic. With the...","['Assassin', 'Fighter']",Mana,590.0,90.0,320.0,50.0,335.0,28.0,3.5,32.1,1.25,150.0,8.5,0.65,8.0,0.7,0.0,0.0,64.0,3.1,2.1,0.625,0.0,2.0,4.0,8.0
Quinn,10.23.1,133,Demacia's Wings,"Quinn is an elite ranger-knight of Demacia, who undertakes dangerous missions deep in enemy territory. She and her legendary eagle, Valor, share an unbreakable bond, and their foes are often slain before they realize they are fighting not one, but two...","['Marksman', 'Assassin']",Mana,532.8,85.0,268.8,35.0,335.0,28.0,3.5,30.0,0.5,525.0,5.5,0.55,6.972,0.4,0.0,0.0,59.0,2.4,3.1,0.668,9.0,4.0,2.0,5.0
Rakan,10.23.1,497,The Charmer,"As mercurial as he is charming, Rakan is an infamous vastayan troublemaker and the greatest battle-dancer in Lhotlan tribal history. To the humans of the Ionian highlands, his name has long been synonymous with wild festivals, uncontrollable parties...",['Support'],Mana,540.0,85.0,315.0,50.0,335.0,32.0,3.9,32.1,1.25,300.0,5.0,0.5,8.75,0.5,0.0,0.0,62.0,3.5,3.0,0.635,2.0,4.0,8.0,5.0
Rammus,10.23.1,33,the Armordillo,"Idolized by many, dismissed by some, mystifying to all, the curious being Rammus is an enigma. Protected by a spiked shell, he inspires increasingly disparate theories on his origin wherever he goes—from demigod, to sacred oracle, to a mere beast...","['Tank', 'Fighter']",Mana,564.48,95.0,310.44,33.0,335.0,36.0,4.3,32.1,1.25,125.0,8.0,0.55,7.84,0.5,0.0,0.0,55.88,3.5,2.215,0.656,4.0,10.0,5.0,5.0
RekSai,10.23.1,421,the Void Burrower,"An apex predator, Rek'Sai is a merciless Void-spawn that tunnels beneath the ground to ambush and devour unsuspecting prey. Her insatiable hunger has laid waste to entire regions of the once-great empire of Shurima—merchants, traders, even armed...",['Fighter'],Rage,570.0,85.0,100.0,0.0,335.0,36.0,3.75,32.1,1.25,175.0,7.5,0.65,0.0,0.0,0.0,0.0,64.0,3.0,2.0,0.667,8.0,5.0,2.0,3.0
Renekton,10.23.1,58,the Butcher of the Sands,"Renekton is a terrifying, rage-fueled Ascended being from the scorched deserts of Shurima. Once, he was his empire's most esteemed warrior, leading the nation's armies to countless victories. However, after the empire's fall, Renekton was entombed...","['Fighter', 'Tank']",Fury,575.0,87.0,100.0,0.0,345.0,35.0,4.0,32.1,1.25,125.0,8.0,0.75,0.0,0.0,0.0,0.0,69.0,3.75,2.75,0.665,8.0,5.0,2.0,3.0
Rengar,10.23.1,107,the Pridestalker,"Rengar is a ferocious vastayan trophy hunter who lives for the thrill of tracking down and killing dangerous creatures. He scours the world for the most fearsome beasts he can find, especially seeking any trace of Kha'Zix, the void creature who...","['Assassin', 'Fighter']",Ferocity,585.0,90.0,4.0,0.0,345.0,34.0,3.0,32.1,1.25,125.0,7.0,0.5,0.0,0.0,0.0,0.0,68.0,3.0,3.0,0.667,7.0,4.0,2.0,8.0
Riven,10.23.1,92,the Exile,"Once a swordmaster in the warhosts of Noxus, Riven is an expatriate in a land she previously tried to conquer. She rose through the ranks on the strength of her conviction and brutal efficiency, and was rewarded with a legendary runic blade and a...","['Fighter', 'Assassin']",None,560.0,86.0,0.0,0.0,340.0,33.0,3.2,32.1,1.25,125.0,8.5,0.5,0.0,0.0,0.0,0.0,64.0,3.0,3.5,0.625,8.0,5.0,1.0,8.0
Rumble,10.23.1,68,the Mechanized Menace,"Rumble is a young inventor with a temper. Using nothing more than his own two hands and a heap of scrap, the feisty yordle constructed a colossal mech suit outfitted with an arsenal of electrified harpoons and incendiary rockets. Though others may scoff...","['Fighter', 'Mage']",Heat,589.0,85.0,100.0,0.0,345.0,31.0,3.5,32.1,1.25,125.0,8.0,0.6,0.0,0.0,0.0,0.0,61.0,3.2,1.85,0.644,3.0,6.0,8.0,10.0
Ryze,10.23.1,13,the Rune Mage,"Widely considered one of the most adept sorcerers on Runeterra, Ryze is an ancient, hard-bitten archmage with an impossibly heavy burden to bear. Armed with immense arcane power and a boundless constitution, he tirelessly hunts for World Runes—fragments...","['Mage', 'Fighter']",Mana,575.0,98.0,300.0,70.0,340.0,22.0,3.0,36.0,0.5,550.0,8.0,0.8,8.0,1.0,0.0,0.0,58.0,3.0,2.112,0.625,2.0,2.0,10.0,7.0
Samira,10.23.1,360,the Desert Rose,"Samira stares death in the eye with unyielding confidence, seeking thrill wherever she goes. After her Shuriman home was destroyed as a child, Samira found her true calling in Noxus, where she built a reputation as a stylish daredevil taking on...",['Marksman'],Mana,530.0,88.0,348.88,38.0,335.0,26.0,3.0,30.0,0.5,500.0,3.25,0.55,8.176,0.7,0.0,0.0,57.0,2.3,3.3,0.658,8.0,5.0,3.0,6.0
Sejuani,10.23.1,113,Fury of the North,"Sejuani is the brutal, unforgiving Iceborn warmother of the Winter's Claw, one of the most feared tribes of the Freljord. Her people's survival is a constant, desperate battle against the elements, forcing them to raid Noxians, Demacians, and Avarosans...","['Tank', 'Fighter']",Mana,560.0,100.0,400.0,40.0,340.0,34.0,4.25,32.1,1.25,150.0,8.5,1.0,7.0,0.7,0.0,0.0,66.0,4.0,3.5,0.688,5.0,7.0,6.0,4.0
Senna,10.23.1,235,the Redeemer,"Cursed from childhood to be haunted by the supernatural Black Mist, Senna joined a sacred order known as the Sentinels of Light, and fiercely fought back—only to be killed, her soul imprisoned in a lantern by the cruel wraith Thresh. But refusing to...","['Marksman', 'Support']",Mana,520.0,75.0,350.0,45.0,330.0,28.0,3.5,30.0,0.5,600.0,3.5,0.55,11.5,0.4,0.0,0.0,50.0,0.0,4.0,0.625,7.0,2.0,6.0,7.0
Seraphine,10.23.1,147,the Starry-Eyed Songstress,"Born in Piltover to Zaunite parents, Seraphine can hear the souls of others—the world sings to her, and she sings back. Though these sounds overwhelmed her in her youth, she now draws on them for inspiration, turning the chaos into a symphony. She...","['Mage', 'Support']",Mana,500.0,80.0,440.0,40.0,325.0,19.0,3.0,30.0,0.5,525.0,6.5,0.6,8.0,1.0,0.0,0.0,55.0,3.0,1.0,0.669,0.0,0.0,0.0,0.0
Sett,10.23.1,875,the Boss,"A leader of Ionia's growing criminal underworld, Sett rose to prominence in the wake of the war with Noxus. Though he began as a humble challenger in the fighting pits of Navori, he quickly gained notoriety for his savage strength, and his ability to...","['Fighter', 'Tank']",Grit,600.0,93.0,0.0,0.0,340.0,33.0,4.0,32.0,1.25,125.0,7.0,0.5,0.0,0.0,0.0,0.0,60.0,4.0,1.75,0.625,8.0,5.0,1.0,2.0
Shaco,10.23.1,35,the Demon Jester,"Crafted long ago as a plaything for a lonely prince, the enchanted marionette Shaco now delights in murder and mayhem. Corrupted by dark magic and the loss of his beloved charge, the once-kind puppet finds pleasure only in the misery of the poor souls...",['Assassin'],Mana,587.0,89.0,297.2,40.0,350.0,30.0,3.5,32.1,1.25,125.0,8.5,0.55,7.156,0.45,0.0,0.0,63.0,3.0,3.0,0.694,8.0,4.0,6.0,9.0
Shen,10.23.1,98,the Eye of Twilight,"Among the secretive, Ionian warriors known as the Kinkou, Shen serves as their leader, the Eye of Twilight. He longs to remain free from the confusion of emotion, prejudice, and ego, and walks the unseen path of dispassionate judgment between the spirit...",['Tank'],Energy,540.0,85.0,400.0,0.0,340.0,34.0,3.0,32.1,1.25,125.0,8.5,0.75,50.0,0.0,0.0,0.0,60.0,3.0,3.0,0.751,3.0,9.0,3.0,4.0
Shyvana,10.23.1,102,the Half-Dragon,"Shyvana is a creature with the magic of a rune shard burning within her heart. Though she often appears humanoid, she can take her true form as a fearsome dragon, incinerating her foes with fiery breath. Having saved the life of the crown prince Jarvan...","['Fighter', 'Tank']",Fury,595.0,95.0,100.0,0.0,350.0,38.0,3.35,32.1,1.25,125.0,8.5,0.8,0.0,0.0,0.0,0.0,66.0,3.4,2.5,0.658,8.0,6.0,3.0,4.0
Singed,10.23.1,27,the Mad Chemist,"Singed is a Zaunite alchemist of unmatched intellect, who has devoted his life to pushing the boundaries of knowledge—with no price, even his own sanity, too high to pay. Is there a method to his madness? His concoctions rarely fail, but it appears to...","['Tank', 'Fighter']",Mana,580.0,85.0,330.0,45.0,345.0,34.0,3.5,32.1,1.25,125.0,9.5,0.55,7.5,0.55,0.0,0.0,63.0,3.375,1.9,0.613,4.0,8.0,7.0,5.0
Sion,10.23.1,14,The Undead Juggernaut,"A war hero from a bygone era, Sion was revered in Noxus for choking the life out of a Demacian king with his bare hands—but, denied oblivion, he was resurrected to serve his empire even in death. His indiscriminate slaughter claimed all who stood in his...","['Tank', 'Fighter']",Mana,545.0,73.0,330.0,42.0,345.0,32.0,3.0,32.1,1.25,175.0,7.5,0.8,8.0,0.6,0.0,0.0,68.0,4.0,1.3,0.679,5.0,9.0,3.0,5.0
Sivir,10.23.1,15,the Battle Mistress,"Sivir is a renowned fortune hunter and mercenary captain who plies her trade in the deserts of Shurima. Armed with her legendary jeweled crossblade, she has fought and won countless battles for those who can afford her exorbitant price. Known for her...",['Marksman'],Mana,562.0,90.0,284.0,50.0,335.0,26.0,3.25,30.0,0.5,500.0,3.25,0.55,8.0,0.9,0.0,0.0,63.0,3.0,1.6,0.625,9.0,3.0,1.0,4.0
Skarner,10.23.1,72,the Crystal Vanguard,"Skarner is an immense crystalline scorpion from a hidden valley in Shurima. Part of the ancient Brackern race, Skarner and his kin are known for their great wisdom and deep connection to the land, as their souls are fused with powerful life crystals...","['Fighter', 'Tank']",Mana,601.28,90.0,320.0,60.0,335.0,38.0,3.8,32.1,1.25,125.0,9.0,0.85,7.2,0.45,0.0,0.0,65.0,4.5,2.1,0.625,7.0,6.0,5.0,5.0
Sona,10.23.1,37,Maven of the Strings,"Sona is Demacia's foremost virtuoso of the stringed etwahl, speaking only through her graceful chords and vibrant arias. This genteel manner has endeared her to the highborn, though others suspect her spellbinding melodies to actually emanate magic—a...","['Support', 'Mage']",Mana,480.0,77.0,340.0,45.0,325.0,28.0,3.3,30.0,0.5,550.0,5.5,0.55,11.5,0.4,0.0,0.0,49.0,3.0,2.3,0.644,5.0,2.0,8.0,4.0
Soraka,10.23.1,16,the Starchild,"A wanderer from the celestial dimensions beyond Mount Targon, Soraka gave up her immortality to protect the mortal races from their own more violent instincts. She endeavors to spread the virtues of compassion and mercy to everyone she meets—even...","['Support', 'Mage']",Mana,535.0,74.0,425.0,40.0,325.0,32.0,3.8,30.0,0.5,550.0,2.5,0.5,11.5,0.4,0.0,0.0,50.0,3.0,2.14,0.625,2.0,5.0,7.0,3.0
Swain,10.23.1,50,the Noxian Grand General,"Jericho Swain is the visionary ruler of Noxus, an expansionist nation that reveres only strength. Though he was cast down and crippled in the Ionian wars, his left arm severed, he seized control of the empire with ruthless determination… and a new...","['Mage', 'Fighter']",Mana,525.0,85.0,468.0,28.5,325.0,22.72,4.0,30.0,0.5,525.0,7.0,0.65,8.0,0.8,0.0,0.0,58.0,2.7,2.11,0.625,2.0,6.0,9.0,8.0
Sylas,10.23.1,517,the Unshackled,"Raised in one of Demacia's lesser quarters, Sylas of Dregbourne has come to symbolize the darker side of the Great City. As a boy, his ability to root out hidden sorcery caught the attention of the notorious mageseekers, who eventually imprisoned him...","['Mage', 'Assassin']",Mana,525.0,115.0,280.0,70.0,340.0,27.0,4.0,32.0,1.75,175.0,9.0,0.9,7.0,0.8,0.0,0.0,61.0,3.0,3.5,0.645,3.0,4.0,8.0,5.0
Syndra,10.23.1,134,the Dark Sovereign,"Syndra is a fearsome Ionian mage with incredible power at her command. As a child, she disturbed the village elders with her reckless and wild magic. She was sent away to be taught greater control, but eventually discovered her supposed mentor was...","['Mage', 'Support']",Mana,523.0,90.0,480.0,40.0,330.0,24.712,3.4,30.0,0.5,550.0,6.5,0.6,8.0,0.8,0.0,0.0,53.872,2.9,2.0,0.625,2.0,3.0,9.0,8.0
TahmKench,10.23.1,223,the River King,"Known by many names throughout history, the demon Tahm Kench travels the waterways of Runeterra, feeding his insatiable appetite with the misery of others. Though he may appear singularly charming and proud, he swaggers through the physical realm like a...","['Support', 'Tank']",Mana,600.0,100.0,325.0,40.0,335.0,47.0,3.5,32.1,1.25,175.0,6.5,0.55,8.0,1.0,0.0,0.0,56.0,3.2,2.5,0.658,3.0,9.0,6.0,5.0
Taliyah,10.23.1,163,the Stoneweaver,"Taliyah is a nomadic mage from Shurima, torn between teenage wonder and adult responsibility. She has crossed nearly all of Valoran on a journey to learn the true nature of her growing powers, though more recently she has returned to protect her tribe...","['Mage', 'Support']",Mana,532.0,90.0,425.0,30.0,335.0,20.0,3.5,30.0,0.5,525.0,7.0,0.7,9.335,0.85,0.0,0.0,58.0,3.3,1.36,0.625,1.0,7.0,8.0,5.0
Talon,10.23.1,91,the Blade's Shadow,"Talon is the knife in the darkness, a merciless killer able to strike without warning and escape before any alarm is raised. He carved out a dangerous reputation on the brutal streets of Noxus, where he was forced to fight, kill, and steal to survive...",['Assassin'],Mana,588.0,95.0,377.2,37.0,335.0,30.0,3.5,39.0,1.25,125.0,8.5,0.75,7.6,0.8,0.0,0.0,68.0,3.1,2.9,0.625,9.0,3.0,1.0,7.0
Taric,10.23.1,44,the Shield of Valoran,"Taric is the Aspect of the Protector, wielding incredible power as Runeterra's guardian of life, love, and beauty. Shamed by a dereliction of duty and exiled from his homeland Demacia, Taric ascended Mount Targon to find redemption, only to discover a...","['Support', 'Fighter']",Mana,575.0,85.0,300.0,60.0,340.0,40.0,3.4,32.1,1.25,150.0,6.0,0.5,8.5,0.8,0.0,0.0,55.0,3.5,2.0,0.625,4.0,8.0,5.0,3.0
Teemo,10.23.1,17,the Swift Scout,"Undeterred by even the most dangerous and threatening of obstacles, Teemo scouts the world with boundless enthusiasm and a cheerful spirit. A yordle with an unwavering sense of morality, he takes pride in following the Bandle Scout's Code, sometimes...","['Marksman', 'Assassin']",Mana,528.0,90.0,334.0,20.0,330.0,24.3,3.75,30.0,0.5,500.0,5.5,0.65,9.6,0.45,0.0,0.0,54.0,3.0,3.38,0.69,5.0,3.0,7.0,6.0
